epoch,accuracy,loss,val_accuracy,val_loss
0,0.7179999947547913,0.8326849341392517,0.8912500143051147,0.28229132294654846
1,0.8270000219345093,0.41298800706863403,0.7425000071525574,0.549894392490387
2,0.8690000176429749,0.32711780071258545,0.8849999904632568,0.3024897277355194
3,0.8899999856948853,0.288554847240448,0.8999999761581421,0.2817458212375641
4,0.9200000166893005,0.21549122035503387,0.7862499952316284,0.906894862651825
5,0.9300000071525574,0.19988815486431122,0.9049999713897705,0.3188078999519348
6,0.9350000023841858,0.17285558581352234,0.8899999856948853,0.362466424703598
7,0.9449999928474426,0.1315843164920807,0.8575000166893005,0.46861428022384644
8,0.9559999704360962,0.11687756329774857,0.9012500047683716,0.3814937174320221
9,0.9559999704360962,0.12861476838588715,0.9037500023841858,0.3996451497077942
